pBrakeF1,rThrottlePedal,vCar
0.1,100,231.2
0.1,100,231.4
0.1,100,231.5
0.1,100,231.7
0.1,100,231.8
0.1,100,231.9
0.1,100,232.1
0.1,100,232.2
0.1,100,232.3
0.1,100,232.5
0.1,100,232.6
0.1,100,232.7
0.1,100,232.9
0.1,100,233
0.1,100,233.1
0.1,100,233.2
0.1,100,233.4
0.1,100,233.5
0.1,100,233.6
0.1,100,233.7
0.1,100,233.9
0.1,100,234
0.1,100,234.1
0.1,100,234.2
0.1,100,234.3
0.1,100,234.5
0.1,100,234.6
0.1,100,234.7
0.1,100,234.8
0.1,100,234.9
0.1,100,235
0.1,100,235.1
0.1,100,235.3
0.1,100,235.4
0.1,100,235.5
0.1,100,235.6
0.1,100,235.7
0.1,100,235.8
0.1,100,235.9
0.1,100,236
0.1,100,236.1
0.1,100,236.2
0.1,100,236.3
0.1,100,236.4
0.1,100,236.5
0.1,100,236.6
0.1,100,236.7
0.1,100,236.8
0.1,100,236.9
0.1,100,237
0.1,100,237.1
0.1,100,237.2
0.1,100,237.3
0.1,100,237.4
0.1,100,237.5
0.1,100,237.6
0.1,100,237.7
0.1,100,237.8
0.1,100,237.9
0.1,100,238
0.1,100,238.1
0.1,100,238.2
0.1,100,238.3
0.1,100,238.4
0.1,100,238.5
0.1,100,238.6
0.1,100,238.7
0.1,100,238.8
0.1,100,238.9
0.1,100,238.9
0.1,100,239
0.1,100,239.1
0.1,100,239.2
0.1,100,239.3
0.1,100,239.4
0.1,100,239.5
0.1,100,239.6
0.1,100,239.7
0.1,100,239.8
0.1,100,239.8
0.1,100,239.9
0.1,100,240
0.1,100,240.1
0.1,100,240.2
0.1,100,240.3
0.1,100,240.4
0.1,100,240.5
0.1,100,240.6
0.1,100,240.6
0.1,100,240.7
0.1,100,240.8
0.1,100,240.9
0.1,100,241
0.1,100,241.1
0.1,100,241.2
0.1,100,241.2
0.1,100,241.3
0.1,100,241.4
0.1,100,241.5
0.1,100,241.6
0.1,100,241.7
0.1,100,241.7
0.1,100,241.8
0.1,100,241.9
0.1,100,242
0.1,100,242.1
0.1,100,242.1
0.1,100,242.2
0.1,100,242.3
0.1,100,242.4
0.1,100,242.5
0.1,100,242.6
0.1,100,242.6
0.1,100,242.7
0.1,100,242.8
0.1,100,242.9
0.1,100,242.9
0.1,100,243
0.1,100,243.1
0.1,100,243.2
0.1,100,243.3
0.1,100,243.3
0.1,100,243.4
0.1,100,243.5
0.1,100,243.6
0.1,100,243.6
0.1,100,243.7
0.1,100,243.8
0.1,100,243.9
0.1,100,243.9
0.1,100,244
0.1,100,244.1
0.1,100,244.2
0.1,100,244.2
0.1,100,244.3
0.1,100,244.4
0.1,100,244.4
0.1,100,244.5
0.1,100,244.6
0.1,100,244.6
0.1,100,244.7
0.1,100,244.8
0.1,100,244.9
0.1,100,244.9
0.1,100,245
0.1,100,245.1
0.1,100,245.1
0.1,100,245.2
0.1,100,245.3
0.1,100,245.3
0.1,100,245.4
0.1,100,245.5
0.1,100,245.5
0.1,100,245.6
0.1,100,245.7
0.1,100,245.7
0.1,100,245.8
0.1,100,245.8
0.1,100,245.9
0.1,100,246
0.1,100,246
0.1,100,246.1
0.1,100,246.2
0.1,100,246.2
0.1,100,246.3
0.1,100,246.3
0.1,100,246.4
0.1,100,246.5
0.1,100,246.5
0.1,100,246.6
0.1,100,246.6
